step,x,y,energy,coverage_pct,action,reason
0,0,0,400,0.714286,START,Initial observation
1,0,1,399,1.000000,MOVE,GO FRONTIER: post_home=1
2,0,2,398,1.000000,MOVE,GO FRONTIER: post_home=2
3,1,2,397,1.000000,MOVE,GO FRONTIER: post_home=3
4,2,2,396,1.000000,MOVE,GO FRONTIER: post_home=4
5,2,3,395,1.000000,MOVE,GO FRONTIER: post_home=5
6,3,3,394,1.000000,MOVE,GO FRONTIER: post_home=6
7,3,4,393,1.000000,MOVE,GO FRONTIER: post_home=7
8,4,4,392,1.000000,MOVE,GO FRONTIER: post_home=8
9,5,4,391,1.000000,MOVE,GO FRONTIER: post_home=9
10,5,5,390,1.000000,MOVE,GO FRONTIER: post_home=10
11,5,6,389,1.000000,MOVE,GO FRONTIER: post_home=11
12,6,6,388,1.000000,MOVE,GO FRONTIER: post_home=12
13,7,6,387,1.000000,MOVE,GO FRONTIER: post_home=13
14,7,7,386,1.000000,MOVE,GO FRONTIER: post_home=14
15,8,7,385,1.000000,MOVE,GO FRONTIER: post_home=15
16,8,8,384,1.000000,MOVE,GO FRONTIER: post_home=16
17,9,8,383,1.000000,MOVE,GO FRONTIER: post_home=17
18,10,8,382,1.000000,MOVE,GO FRONTIER: post_home=18
19,10,9,381,1.000000,MOVE,GO FRONTIER: post_home=19
20,10,10,380,1.000000,MOVE,GO FRONTIER: post_home=20
21,11,10,379,1.000000,MOVE,GO FRONTIER: post_home=21
22,11,11,378,1.000000,MOVE,GO FRONTIER: post_home=22
23,12,11,377,1.000000,MOVE,GO FRONTIER: post_home=23
24,13,11,376,1.000000,MOVE,GO FRONTIER: post_home=24
25,13,12,375,1.000000,MOVE,GO FRONTIER: post_home=25
26,14,12,374,1.000000,MOVE,GO FRONTIER: post_home=26
27,14,13,373,1.000000,MOVE,GO FRONTIER: post_home=27
28,15,13,372,1.000000,MOVE,GO FRONTIER: post_home=28
29,16,13,371,1.000000,MOVE,GO FRONTIER: post_home=29
30,16,14,370,1.000000,MOVE,GO FRONTIER: post_home=30
31,17,14,369,1.000000,MOVE,GO FRONTIER: post_home=31
32,18,14,368,1.000000,MOVE,GO FRONTIER: post_home=32
33,18,15,367,1.000000,MOVE,GO FRONTIER: post_home=33
34,19,15,366,1.000000,MOVE,GO FRONTIER: post_home=34
35,20,15,365,1.000000,MOVE,GO FRONTIER: post_home=35
36,20,16,364,1.000000,MOVE,GO FRONTIER: post_home=36
37,21,16,363,1.000000,MOVE,GO FRONTIER: post_home=37
38,22,16,362,1.000000,MOVE,GO FRONTIER: post_home=38
39,22,17,361,1.000000,MOVE,GO FRONTIER: post_home=39
40,23,17,360,1.000000,MOVE,GO FRONTIER: post_home=40
41,23,18,359,1.000000,MOVE,GO FRONTIER: post_home=41
42,24,18,358,1.000000,MOVE,GO FRONTIER: post_home=42
43,25,18,357,1.000000,MOVE,GO FRONTIER: post_home=43
44,25,19,356,1.000000,MOVE,GO FRONTIER: post_home=44
45,26,19,355,1.000000,MOVE,GO FRONTIER: post_home=45
46,27,19,354,1.000000,MOVE,GO FRONTIER: post_home=46
47,27,20,353,1.000000,MOVE,GO FRONTIER: post_home=47
48,27,21,352,1.000000,MOVE,GO FRONTIER: post_home=48
49,26,21,351,1.000000,MOVE,TURN BACK: frontier no longer safe, home=47
50,25,21,350,1.000000,MOVE,TURN BACK: frontier no longer safe, home=46
51,24,21,349,1.000000,MOVE,TURN BACK: frontier no longer safe, home=45
52,23,21,348,1.000000,MOVE,TURN BACK: frontier no longer safe, home=44
53,22,21,347,1.000000,MOVE,TURN BACK: frontier no longer safe, home=43
54,21,21,346,1.000000,MOVE,TURN BACK: frontier no longer safe, home=42
55,20,21,345,1.000000,MOVE,TURN BACK: frontier no longer safe, home=41
56,19,21,344,1.000000,MOVE,TURN BACK: frontier no longer safe, home=40
57,18,21,343,1.000000,MOVE,TURN BACK: frontier no longer safe, home=39
58,17,21,342,1.000000,MOVE,TURN BACK: frontier no longer safe, home=38
59,16,21,341,1.000000,MOVE,TURN BACK: frontier no longer safe, home=37
60,15,21,340,1.000000,MOVE,TURN BACK: frontier no longer safe, home=36
61,14,21,339,1.000000,MOVE,TURN BACK: frontier no longer safe, home=35
62,13,21,338,1.000000,MOVE,TURN BACK: frontier no longer safe, home=34
63,12,21,337,1.000000,MOVE,TURN BACK: frontier no longer safe, home=33
64,11,21,336,1.000000,MOVE,TURN BACK: frontier no longer safe, home=32
65,10,21,335,1.000000,MOVE,TURN BACK: frontier no longer safe, home=31
66,9,21,334,1.000000,MOVE,TURN BACK: frontier no longer safe, home=30
67,8,21,333,1.000000,MOVE,TURN BACK: frontier no longer safe, home=29
68,7,21,332,1.000000,MOVE,TURN BACK: frontier no longer safe, home=28
69,6,21,331,1.000000,MOVE,TURN BACK: frontier no longer safe, home=27
70,5,21,330,1.000000,MOVE,TURN BACK: frontier no longer safe, home=26
71,4,21,329,1.000000,MOVE,TURN BACK: frontier no longer safe, home=25
72,3,21,328,1.000000,MOVE,TURN BACK: frontier no longer safe, home=24
73,2,21,327,1.000000,MOVE,TURN BACK: frontier no longer safe, home=23
74,1,21,326,1.000000,MOVE,TURN BACK: frontier no longer safe, home=22
75,0,21,325,1.000000,MOVE,TURN BACK: frontier no longer safe, home=21
